passage	question	label
В конце концов хозяин дома был вынужден перебраться к друзьям, чтобы хоть немного выспаться. Название фильма «Мой собственный Айдахо» не имеет непосредственного отношения к песне «Частный Айдахо» («Private Idaho»), исполняемой группой The B-52s, хотя в финальных титрах режиссёр и выражает группе отдельную благодарность. Название фильма подразумевает, что Майк живёт в вымышленном им самим мире — в том «собственном Айдахо», где он ещё с матерью и счастлив. Что перекликается с текстом песни группы The B-52s.	Был ли фильм "Мой собственный Айдахо" с Майклом?	TRUE
География. Площадь СМО составляет 167 869 га. Сельское поселение расположено в юго-восточной части района в прибереговой зоне Прикаспийской низменности с очень незначительными колебаниями относительных высот. Высота над уровнем моря административного центра поселения составляет −24 м. Муниципальное образование граничит с Кумским СМО, Комсомольским СМО, Нарын-Худукским СМО, Улан-Хольским СМО Лаганского района, Тарумовским районом Республики Дагестан.	Входит ли сельское поселение в состав Лаганского района?	TRUE
С 30 августа 2004 года NBA TV стал снова включаться на «НТВ-Плюс Футбол». 3 сентября 2007 года канал изменил формат, однако название осталось прежним. Канал перешёл на 24-х часовое вещание, и тем самым формат канала стал более приближённым к сетке вещания канала «НТВ-Плюс Спорт». Появились также и 45-минутные блоки спортивных новостей («Спортивное утро, день и вечер»), которые в 2011 году прекратили своё существование.	Была ли передача «НТВ-Плюс Спорт» в прайм-тайм?	TRUE
Павел Лан Фу в это время отсутствовал дома. Когда он вернулся домой, то увидел мать, привязанную к дереву, и заплакал. Мать утешала своего сына.	Была ли любовь между ними?	TRUE
К особенностями схемы С2С можно отнести низкие трансакционные издержки, более низкую цену за товар. Отрицательная особенность — повышенная вероятность мошенничества. Для борьбы с ним площадки вводят систему репутации.	Были ли трансакционные издержки в России?	TRUE
В 1969—1970 годах она выступила инициатором соревнования животноводов Апастовского района за достойную встречу {{s|100-летия}} со дня рождения В. И. Ленина. За победу в этом соревновании была занесена в Республиканскую книгу Почёта и награждена медалью «За доблестный труд. В ознаменование {{s|100-летия}} со дня рождения В. И. Ленина».	Был ли В. И. Ленин почетным гражданином Апастовского района?	TRUE
В заключение Краузер выражает «безграничную признательность господину Манкевичу и его актёрскому составу за то, что они выстроили галерею людей, которые ослепляют, ужасают и завораживают». Журнал "Variety" назвал картину «грамотным, зрелым фильмом самого высокого калибра», а "New York Morning Telegraph" пришёл к заключению, что «это, наверняка, самый остроумный, самый потрясающий, самый зрелый и самый грамотный фильм из когда-либо сделанных на тему о нью-йоркской сцене… Это блестящий, искромётный, великолепно написанный и превосходно сыгранный рассказ о драматическом театре». "The Oxford Companion to Film" оценил картину как «язвительно точное изображение театральной жизни и бессовестного восхождения инженю к славе», отметив «превосходный актёрский состав» и особенно «Бетт Дейвис, которая дала одно из своих самых ослепительных выступлений». "TimeOut Film Guide" обратил внимание на «циничный сценарий Манкевича, который использует историю по максимуму, будучи одновременно остроумным и умным».	Была ли картина о нью-йоркской сцене "The Oxford Companion to Film"?	TRUE
Но в отличие от двух других футболистов, с которыми были подписаны новые контракты, контракт Мамедова был продлен. В составе «Кяпаза» играет под номером 77. Кубок.	Были ли в составе «Кяпаза» другие футболисты?	TRUE
Его дебют в футболке новой команды состоялся 26 октября 2020 года в матче Кубка Англии против «Бишопс-Стортфорд» (0:2). В начале 2021 года Матревицс вернулся на родину, где стал игроком клуба «Валмиера». Дебют в Высшей лиге Латвии для него состоялся 4 апреля 2021 года в матче против «Вентспилса» (1:0).	Был ли дебют в высшей лиге Латвии для Матревицса?	TRUE
Входит в состав Кривцовского сельсовета. География. Посёлок находится в северо-восточной части Курской области, в пределах юго-западной части Среднерусской возвышенности, в лесостепной зоне, на правом берегу реки Тускари, на расстоянии примерно 11 километров (по прямой) к северо-западу от города Щигры, административного центра района.	Были ли кривцовские кривцовские сельсоветы?	TRUE
Сын генерала, в 1920-х годах — диктатора Испании Мигеля Примо де Ривера. Политическая деятельность. После установления Второй республики занялся политической деятельностью. Основой его воззрений была идеология итальянского фашизма Бенито Муссолини.	Был ли Примо де ривера диктатором Испании?	TRUE
Работы по возведению плотины и монтажу оборудования ГЭС были почти полностью механизированы. В районе строительства плотины в течение 1955 года вынуто 55 тыс. м³ грунта и уложено 25 тыс. м³ бетона. В 1956 году было уложено в 4 раза больше бетона, чем в 1955 году, а река Мати была перекрыта и направлена по новому руслу. Сооружение гидроэлектростанции закончено в 1957 году.	Была ли гидроэлектростанция на реке Мати?	TRUE
В 433 году до н. э. в Афины прибыли керкирские послы. Они указали афинянам на то, что не смогут противостоять Коринфу, будут вынуждены ему подчиниться, и в этом случае Афинам будут противостоять две сильнейшие морские державы Греции — Коринфом и Керкирой. Прибывшее одновременно с керкирскими послами коринфское посольство обвинило керкирян в наглости и корыстолюбии, неоказании Эпидамну своевременной помощи и протестовало против их включения в афинскую державу.	Были ли керкирские послы в афинском посольстве?	TRUE
С 1939 года — на хозяйственной, общественной и политической работе. В 1939—1991 гг. — учитель русского языка и литературы Лавринской семилетней школы Горьковского района Омской области, красноармеец в частях НКВД, участник Великой Отечественной войны, заведующий отделом культуры Исилькульского райисполкома Омской области, начальник Исилькульского карточного бюро, пропагандист Исилькульского райкома ВКП(б), секретарь партийного комитета совхоза «Лесной», заведующий отделом Исилькульского райкома КПСС, секретарь, второй секретарь Исилькульского райкома КПСС, председатель Исилькульского райисполкома, первый секретарь Исилькульского райкома КПСС, секретарь партийного комитета Черлакского производственного колхозно-совхозного управления, первый секретарь Черлакского райкома КПСС, первый секретарь Омского райкома КПСС Омской области, заместитель заведующего курсами повышения квалификации руководящих партийных, советских и идеологических кадров при Омском областном комитете КПСС. Указом Президиума Верховного Совета СССР от 17 июля 1986 года присвоено звание Героя Социалистического Труда с вручением ордена Ленина и золотой медали «Серп и Молот».	Были ли герои в советском союзе?	TRUE
В 2007 году его сборная сыграла на чемпионате мира во Франции, а Ваки провёл все четыре матча группового этапа против США, Самоа (оба раза победили), ЮАР и Англии (оба раза проиграли). В игре против США Ваки занёс попытку после перевода мяча с правого фланга ближе к центру, сделав счёт 23:15 в пользу Тонга, а реализация принесла тонганцам победу 25:15. В игре против ЮАР к заносу привела ошибка южноафриканцев в атаке, когда Перси Монтгомери выронил мяч: после прорыва по правому флангу результативную передачу ногой сделал Вунгакото Лило, и Ваки прибежал к мячу, который уже был в зачётной зоне.	Была ли сборная Тонга на чемпионате мира?	TRUE
Летал на бомбардировщике АНТ-40. Подразделение, в котором служил В. Г. Завадский, перед войной дислоцировалось в городе Пинске. 22 июня 1941 года материальная часть полка была полностью уничтожена, причём большинство самолётов даже не успели подняться в воздух. Личный состав полка был эвакуирован в город Ногинск в Подмосковье, где полк был переформирован и укомплектован самолётами Пе-2 и Пе-3.	Была ли война с германией в 1941 году?	TRUE
Глубина резкостиЭффекты фокусной глубины резкости могут быть воспроизведены с помощью этой возможности. Если камера зафиксирована на определённой точке сцены, дальние объекты будут вне фокуса. Искажённые отраженияЕсли поверхность не является идеальным отражателем, отражённый свет искажается. Чем дальше находится отражаемый объект, тем сильнее будет искажение.	Влияет ли глубина резкости на качество изображения?	TRUE
Aquafon получил лицензию на работу в стандарте GSM в диапазоне частот 900/1800 МГц, в стандарте UMTS в диапазоне частот 2100/900 МГц, в стандарте 4G LTE. Номерная ёмкость. С 15 ноября 2009 года оператор использует новый формат нумерации — +7 940 9хх хх хх.	Был ли стандарт GSM в стандарте UMTS?	TRUE
Нашлемник: растение Ломонос между двух чёрных орлиных крыльев. Намёт: червлёный, подложен справа серебром, слева золотом. Щитодержатели: два золотых льва с червлёными глазами и языками. Герб дворянского рода Ломоносовых был записан в Часть XVI Общего гербовника дворянских родов Всероссийской империи, страница 21.	Были ли в роду Ломоносовых дворяне?	TRUE
Усмирит ли жеребцов Диомеда? Победит ли амазонок? Справится ли со стимфалийскими птицами?	Есть ли амазонки в амазонии?	TRUE
Написана и исполнена Джоном Ленноном. Авторство песни приписано дуэту Леннон — Маккартни. Композиция.	Был ли дуэт Леннон — маккартни автором песни?	TRUE
Достопримечательностью казачьего хутора является храм Александра Невского, построенный в 1920-м году на средства мирян, затем разрушенный и вновь недавно восстановленный. Кулик — гласный символ названия поселения и его административного центра хутора Куликовский. Голубое стропило, окаймлённое жёлтым цветом (золотом) — аллегория трубы, заполненной газом, символизирует многочисленные организации ООО «Кубаньгазпром».	Была ли в казачьем хуторе Куликовский церковь?	TRUE
Активными распространителями марвари издавна были кочевавшие по всему Раджастхану коробейники-«банджара» и представители торгово-ростовщических каст «марвари» и «бания». Наконец, этническая самоидентификация наиболее тесно связана с родным языком прежде всего у носителей марвари, которые предпринимают усилия для сохранения своего языка и расширения его общественных функций, при этом пользуются марвари во всех сферах неофициального общения». В официальном общении, в том числе в штате Раджастхан преобладает хинди – официальный язык Индии и штата. Он широко используется в административном делопроизводстве, СМИ, образовательных учреждениях и т. д. Тем не менее, на раджастхани издается много художественной литературы, ведутся радиопередачи и снято несколько кинофильмов.	Были ли в раджастхане коробейники-«банджара»?	TRUE
В этом сезоне удостоен звания «Мастер спорта Республики Таджикистан». В 2002 году отметился выступлением на Азиатских играх в Пусане, где, тем не менее, в марафонской дисциплине сошёл с дистанции. Ещё будучи действующим спортсменом, в период 1994—2005 годов работал тренером-преподавателем в Специализированной детско-юношеской школе олимпийского резерва № 3 по лёгкой атлетике.	Были ли у него проблемы со здоровьем?	TRUE
Живорад Ковачевич более полувека был женат на Маргите Ковачевич, которая умерла всего за три месяца до него. Она даже участвовала вместе с ним в демонстрациях протеста против фальсификации местных выборов во время правления Слободана Милошевича. «В дождь или в ясную погоду мы ходили туда каждый день в течение 88 дней», — сказал Ковачевич.	Был ли Ковачевич женат на Маргите Ковачевич?	TRUE
Изначально закон был «средством оценки цены на вычислительные услуги». Грош также пояснил, что сегодняшнее наличие изощрённых способов исследования стоимости построения компьютерных систем означает, что его закон имеет ограниченную применимость для современных ИТ-менеджеров. Применение закона к вычислительным кластерам. Для кластеров первоначальный закон Гроша предполагает, что если кластер содержит 50 машин и к нему добавлено ещё 50 машин (удвоение стоимости), то в результате 100-машинный кластер будет иметь учетверённую вычислительную мощность, что, очевидно, неверно.	Был ли закон Гроша применим к вычислительным кластерам?	TRUE
Начальный капитал Sanergy получила в виде грантов и стипендий, в дальнейшем предприятие с помощью инвестиций и расширения сети планирует выйти на прибыльную деятельность. История. Основатели Sanergy Дэвид Ауэрбах и Ани Валлабханени, будучи студентами Массачусетского технологического института, долгое время прожили в сельской местности Индии и Китая, на себе ощутив неудобства от плохой санитарии, отсутствия туалетов и канализации.	Были ли у них проблемы с канализацией?	TRUE
10. 1946 |место рождения = {{МестоРождения|Баку}}, Азербайджан |дата смерти = |место смерти = |подданство = |жанр = |учёба = |стиль = |покровители = |награды = {{{!}} style="background:transparent" |звания = |премии = |сайт = |викисклад = Фархад Курбан оглы Халилов ({{lang-az|Xəlilov Fərhad Qurban oğlu}}, 26 октября 1946, Баку) — советский и азербайджанский художник. Народный художник Азербайджана (2002), председатель Союза художников Азербайджана.	Были ли в Азербайджане азербайджанские художники?	TRUE
География и климат. Лахор находится между 31°15′—31°45′ северной широты и 74°01′—74°39′ восточной долготы. На севере и западе граничит с округом Шейхупура, на юге — с округом Касур. В северной части города протекает река Рави.	Были ли в лахоре землетрясения?	TRUE
Олимпийский стадион в Мюнхене ранее принимал чемпионат Европы по лёгкой атлетике в 2002 году. Луиза Гега принесла Албании первое золото на чемпионатах Европы. Мария Вукович принесла Черногории первую в истории медаль чемпионатов Европы. 22-летняя нидерландка Фемке Бол выиграла три золота — на дистанциях 400 метров, 400 метров с барьерами и в эстафете 4×400 метров.	Был ли первый чемпионат Европы по легкой атлетике в мюнхенском дворце?	TRUE
Деревня находилась к северо-западу от города Пушкин, к западу от Киевского шоссе, между Красносельским и Волхонским шоссе. История. Обозначено, как "Wittala" на карте топографа Бергенгейма, составленной по шведским архивам от 1676 года. В XVIII веке после строительства императорской резиденции в Царском Селе деревня "Виттолово" прославилась своими родниками, которые питали Большой пруд Екатерининского дворца.	Была ли деревня "Виттолово" на карте топографа Бергенгейма?	TRUE
Выступала также как спортивный телекомментатор на телевизионных трансляциях международных и канадских национальных турниров по кёрлингу (см. ). Кёрлинг. Команды. "(скипы выделены полужирным шрифтом)"Софтбол.	Были ли в кёрлинге женские команды?	TRUE
Гравёр Джеймс Лонгакр сделал изображение аверса схожим с выпущенной ранее монетой в 2 цента. Находящийся в центре щит с 13 вертикальными полосами должен был символизировать состоятельность и единство государства, что было весьма актуально во время происходящих событий. Над щитом изображён крест, а над ним девиз «IN GOD WE TRUST». По бокам от щита располагаются две оливковые ветви — символы миролюбия.	Был ли крест на аверсе монеты?	TRUE
Биография. Леннон, имеющий ирландское происхождение, родился в 1970 году в Ок-Парке, пригороде Чикаго. Закончил "Oak Park River Forest High School".	Были ли у Леннона ирландское происхождение?	TRUE
Перед сезоном 2016/17 поехал на сборы вместе с основной командой. 14 августа 2016 года дебютировал в Лиге 1 поединком против «Ренна», появился на поле в основном составе. Кроме того, первый поединок в ведущем первенстве был отмечен его результативным ударом. Забив свой первый профессиональный гол на 60-ой минуте дебютного поединка, он посвятил его всем жертвам теракта в Ницце.	Был ли гол забитым на 60-ой минуте дебютного матча?	TRUE
Выбор игроков. "Обозначения: В — вратарь; З — защитник; ЛН — левый нападающий; ПН — правый нападающий; ЦН — центральный нападающий; Н — нападающий (обычно крайний форвард)"Итоги драфта. Всего на драфте было выбрано 252 хоккеиста из 7 стран. Среди европейских стран наибольшее представительство у СССР, хотя первый советский хоккеист был выбран только в четвёртом раунде.	Был ли первый советский хоккеист выбран в первом раунде?	TRUE
"Отец:" Лев Богданович Плещеев (ум. 1695), стольник "Мать:" Анна"Жена:" княжна Анна Васильевна Долгорукова (30. 11. 1688—17. 09.	Был ли женат Плещеев на княжне Анне?	TRUE
Но влияние журнала на три поколения сатириков можно оценить, например, по частоте упоминания "Mad" в сериале «Симпсоны». Продюсер «Симпсонов» так охарактеризовал это влияние: «„Симпсоны“ словно вобрали в себя журнал "Mad". Фактически все, кто вырос между 1955 и 1975 годами, читали "Mad" и с его помощью развили чувство юмора. Наши герои — Дейв Берг, Дон Мартин — к сожалению, умерли, но „Симпсоны“ оказались на их месте в сердцах американцев».	Были ли в "Симпсонах" сатирические элементы?	TRUE
Также он был обозревателем в гезете «Либерасьон», его колонка выходила в пятничном номере газеты. Франс-5. Популярность его обзоров во французской печати позволили создать авторскую еженедельную программу на телеканале «Франс-5» под названием «Стоп-кадр» ("Arrêt sur images").	Была ли франс-5 популярна во франции?	TRUE
Биография. Соломон Шестопал родился 9 апреля 1917 года в Смоленске. Учился в Московском архитектурном институте.	Был ли в смоленске Соломон Шестопал?	TRUE
Выступает за клубы «Халадаш» () и «Чепель» (). Учится в Столичном университете Будапешта. Биография. Родился в 1987 году в Сомбатхее.	Были ли у него братья?	TRUE
28 октября 2004 года пережил покушение: во дворе его дома в момент возвращения с работы произошёл подрыв устройства с дистанционным управлением, но Кяров и члены его семьи не пострадали. Покушение связывали с гибелью 26-летнего жителя посёлка Хасанья Расула Цакоева, скончавшегося после побоев в УБОПе, родственники погибшего обвиняли в его смерти Кярова. С тех пор у дома полковника постоянно дежурили милиционеры, а сам он передвигался только в сопровождении охраны. 7 июля 2005 года назначен начальником Управления по борьбе с организованной преступностью МВД Кабардино-Балкарской республики.	Была ли перестрелка в доме полковника?	TRUE
Глава Союза журналистов Москвы Павел Гусев заявил, что СЖР устарел и «далёк от актуальных проблем журналистики». 1 сентября 2016 года стало известно, что 14 журналистов издания Znak. com написали заявления о выходе из СЖР. Своё решение они объяснили тем, что «СЖР действуют в худших традициях советских „творческих организаций“, демонстрируя неуважение к рядовым журналистам и занимая услужливо-подобострастную позицию по отношению к чиновникам».	Были ли в советском союзе творческие организации?	TRUE
Высота над уровнем моря — 233,4 метра. Происхождение моренно-аккумулятивное. Берега на западе сухие, на юге и востоке — низменные и заболоченные. На северо-востоке к озеру Сонино примыкает верховое болото Анушинский мох.	Были ли на территории россии ледники?	TRUE
В 2018 году был сертифицирован аэродромный комплекс СП-2010 для посадки самолётов в сложных метеоусловиях, разработанный совместно специалистами радиозавода и научным коллективом Южно-Уральского Государственного университета (ЮУрГУ). На характеристики излучающего сигнала использованных в комплексе резонаторных антенн не влияют такие погодные факторы, как влага, осадки, обледенение. Сокращению эксплуатационных расходов способствует тот факт, что комплекс не требует уборки снега перед антеннами радиомаяка в зимний период. Продукция.	Были ли проблемы с эксплуатацией комплекса в зимний период?	TRUE
Распространение и статус. "C. travancoricus" эндемик индийского штата Керала и южной части штата Карнатака в Западных Гатах. В Керала он известен из 13 рек (а также устьев рек), в том числе Чалакуды, Памбияр, Перияр, Кабани, Бхаратапужа, Муваттупужа, Ачанковил и Ваманапурам. Он также известен из других пресных водоемов в регионе, таких как озеро Вембанад и водно-болотные угодья Триссур-Коле.	Был ли он распространен в индийском штате Керала?	TRUE
Джекман родился в Хиллингдоне. Он обучался классической музыке в школе при соборе Святого Павла, Итонском колледже, Фрамлингемском колледже и Оксфордском университете. Джекман сотрудничал с такими музыкантами, как Майк Олдфилд (программирование композиции "Voyager"), Салли Олдфилд (программирование композиции "Flaming Star"), Тревор Хорн (программирование композиции "The Seduction of Claude Debussy" для его группы Art of Noise), Элтон Джон и Гэри Барлоу.	Был ли Джекман в составе группы Art of Noise?	TRUE
Поддержка EPT встречается среди процессоров Intel Core i3, Core i5 и Core i7. EPT необходим для запуска логического процессора непосредственно в реальном режиме, который называется «неограниченный гость» на жаргоне Intel и представлен в микроархитектуре Westmere. Согласно оценочному документу VMware: «EPT обеспечивает прирост производительности до 48% для тестов интенсивного MMU и до 600% для микрообъектов с интенсивным MMU», хотя на самом деле он может заставить код работать медленнее, чем программная реализация в некоторых "угловых" (corner case) cлучаях.	Были ли у Intel Core i7 и Core i5 такие же результаты?	TRUE
3. 4, однако на сайте Интернет-магазина МТС есть обновление до версии 2. 3.	Были ли у вас проблемы с интернетом?	TRUE
Здесь обитают мышевидные грызуны, барсук, крот, бурундук, белка, норка, колонок, солонгой, горностай, соболь, рысь, росомаха, медведь, сибирский горный козёл, косуля, лось, марал, кабарга. По берегам рек селится обыкновенная кутора, ондатра. Туризм.	Были ли на территории россии барсуки?	TRUE
В мае сдался в плен американским войскам. Освободившись из плена, жил на территории Западной Германии. Ссылки.	Были ли американцы в германии?	TRUE
