passage	question	label
Карьера. По окончании обучения получил профессию инженера-геолога (1930) и в течение 25 лет работал в Западно-Сибирском геологическом управлении, геофизическом трестоме, Березовской экспедиции. В 1939 г. под его руководством было открыто Золотушинское месторождение – одно из крупнейших и уникальных в стране по содержанию цветных металлов. В 1955 г. был переведен в Сибирский филиал ВНИИ геофизики руководителем лаборатории геолого-геофизического обобщения.	Образована ли в ссср рк система подготовки специалистов по геологоразведке?	FALSE
Библиотека работает под ОС Linux, Windows, и macOS. Она работает как на одной машине, так и на системах распределенной обработки Apache Hadoop, Apache Spark и Apache Flink. В последнее время эта библиотека приобрела большую популярность и привлекла внимание как выбор многих команд-победителей соревнований по машинному обучению. История.	Был ли раньше в России аналог этой библиотеки?	FALSE
0 включает 19 цельных символов дробей европейского вида. Соответствующие глифы могут быть как «косыми», так и «вертикальными», в зависимости от шрифта. Символ 0/3 (↉) включён в стандарт, поскольку он используется в бейсболе.	Имеют ли знаки дробей на линиях буквах «е» и «еа» одинаковый код?	FALSE
В 2001 году подписал четырёхлетний контракт с минским «Керамином», с которым уже в сезоне 2001/02 стал чемпионом Белоруссии и забил золотой гол в финальном матче. В 2005 году у Дмитрия истёк контракт с клубом, и он дебютировал в чемпионате России, подписав в 2005 году контракт с уфимским «Салаватом Юлаевым». Играл за команду в течение двух сезонов — 103 матча, 42 очка. В сезоне 2007—2008 в регулярном сезоне чемпионата России по хоккею выступал за московский «Спартак».	Была ли у него травма, с которой он так и не справился?	FALSE
Выход альбома планировался ещё в ноябре 2021-ого, но по неизвестным причинам был перенесён на февраль 2022-ого. 31 декабря в полночь Джарахов в Instagram назвал окончательную дату выхода альбома — 25 февраля. 11 января был опубликован трек-лист.	Были ли изменены планы издания альбома?	FALSE
На сайте оркестра представлен архив некоторых из этих передач. В последние годы оркестр регулярно выступает в Москве в Доме ученых (2013, 2014 гг. ) и Доме архитектора (2013, 2015-2018 гг. ). В октябре 2018 г. в Доме архитектора оркестр отметил своё 35-летие новой программой с участием Анны Бутурлиной.	Были ли у баяниста за 20 с лишним лет совместной работы с Валерией Бутырской ни одного выпада в сторону женщины?	FALSE
Въезд на территорию парка стоит 5 долларов. Туристам предлагаются на выбор пешие экскурсии, автомаршруты на джипе, поездка верхом. Помимо живописных природных мест в Хустайн Нуруу можно увидеть культурные памятники тюркского происхождения. Для волонтёров предоставляется возможность участия в исследовании дикой природы в течение трёхнедельного периода.	Много ли стоит аренда джипа в городе Хустайн Нуруу?	FALSE
Проживало 260 жителей, из них 122 мужского полу, 138 женского. При строительстве военного аэродрома стратегической авиации ВС Союза ССР, а позднее аэропорта «Шереметьево», в 1959 году, в окрестности деревень "Новой" и "Дмитровки" стали перевозить жителей ликвидируемых деревень Краснополянского района Подмосковья, в том числе и деревни Новосёлки (которая прекратила существование, на старом месте, см. карту Московского уезда, 1849 года). После этого деревня по левую сторону (из Москвы) Ленинградского шоссе получила название по названию деревни "Ново-Дмитровка" — "Новодмитровка", а на её месте разместились Новосёлки. В 1984 году в деревне проживало 435 человек, и она вошла в состав Ленинградского района города-героя.	Была ли переименована улица в новодмитровке после 1980 года?	FALSE
Монастырь хорошо известен как святое место и привлекателен для паломничества. Монастырский комплекс находится на хребте и окружён густым лесом, над которым возвышаются горы. Каждый из трёх ярусов монастыря посвящён выдающемуся тибетскому учителю или божеству.	Есть ли в монастыре буддистские монастыри?	FALSE
Постройки. В монастырских постройках XVII века своеобразно сочетаются приёмы московского узорочья и украинского барокко. Современность. Монастырь, закрытый в годы советской власти и пострадавший во время Великой Отечественной войны, возрожден в 1990-х гг. Проведена комплексная реставрация, некоторые здания воссозданы из руин.	Были ли памятники архитектуры на территории владимирской области в XVII веке?	FALSE
С каждым сезоном улучшал результаты на дистанциях 200 и 400 метров, был призёром американских студенческих соревнований. С 2007 года стал регулярно привлекаться в основную команду Багамских Островов. Выиграл серебряную медаль на чемпионате мира 2007 года и стал чемпионом Панамериканских игр в эстафете 4×400 метров.	Вновь становился бронзовым призером в эстафете 4х400 метров?	FALSE
Коммерческие операции. Прием и выдача грузов повагонными и мелкими отправками, загружаемых целыми вагонами, только на подъездных путях и местах необщего пользования. Прием и выдача грузов в универсальных контейнерах массой брутто 20 и 24 тонн на подъездных путях.	Входят ли в нормы права требования приемной и доставки грузов повагонными и мелкими отправками, загружаемых целыми вагонами, на подъездных путях и местах необщего пользования?	FALSE
Звёзды — символ путеводности, стремления вперёд. На флаге Завитинского района звёзды символизируют направленность района в будущее, способность района к дальнейшему развитию. Зелёный цвет символизирует природу, весну, здоровье, молодость и надежду.	Есть ли на гербе республики символы направления в будущее?	FALSE
Расстояние до ближайшей железнодорожной станции Свирь — 5 км. Экономика. Посёлок — центр лесозаготовительного района. Пункт сортировки древесины, лесозавод, гравийно-щебёночный завод.	Реализовала ли администрация Свирь проект, касающийся лесоблаговозобновления с указанием территории и трассы в п. Свирь (до ближайшего ж/д станции?	FALSE
На 8 октября 1904 года служил в Свеаборгском крепостном инженерном управлении, подполковник. На 1909 год — служил в Варшаве. На 1913 год – проживал в Петербурге, штаб-офицер для поручений.	Были ли в армии офицеры с фамилией Свеаборг?	FALSE
В это время Гэйдж совершает ограбление и получает деньги, на которые можно записать целый альбом, но выясняется, что эти деньги принадлежат Мистеру Би, и он хочет получить их назад…Оценки. На сайте Rotten Tomatoes рейтинг одобрения фильма составляет 8 %, основываясь на отзывах 38 критиков. Консенсус веб-сайта гласит: «Рецензенты говорят, что фильм имеет производное ощущение, проходящее через слишком много городских клише».	Можно ли назвать эту картину полноценной, если в ней практически отсутствуют кадры из реальной жизни?	FALSE
В 1954 г. состоялась премьера её мюзикла для детей «Шагги и голубой вагон» () по одноимённой книге , главную партию исполнил ; по другому произведению Фримана Джонсон написала детский мюзикл «Мышка в опере» (, о белой мыши, живущей в здании Метрополитен-Оперы) — на премьере (9 марта 1956 г. , Сан-Франциско) пели и его жена Гейл Мэннерс. В конце жизни Джонсон работала над мюзиклом о художнике Тулуз-Лотреке. Была замужем за певцом Хьюбертом Норвиллом (; 1905—1986), выступавшим в опере и в мюзиклах. Их единственный сын стал юристом.	Был ли у певца Хьюберта Норвилла брачный контакт с женщиной?	FALSE
Позднее, когда миссионерская деятельность Братства преподобного Германа Аляскинского стала более успешной, издание журнала было решено возобновить. Православные американцы хотели таким образом отблагодарить Русское Православие, полученное ими через преп. Германа Аляскинского. Первый номер журнала вышел в 1990 году десятитысячным тиражом и был направлен для распространения в Россию. Первый номер мы сделали вручную, нарезав ксероксов из старых номеров и сделав цветную обложку.	Было ли у Германа Аляскинского письмо от русских?	FALSE
Департамент коммуны — Арьеж. Входит в состав кантона Восточный Памье. Округ коммуны — Памье.	Есть ли в коммуне агенства недвижимости?	FALSE
На другом берегу пруда расположена деревня Давыденки. Климат. Климат характеризуется как умеренно континентальный, с продолжительной холодной многоснежной зимой и относительно коротким тёплым летом. Среднегодовая многолетняя температура воздуха составляет 2,4 °С Средняя температура воздуха самого тёплого месяца (июля) — 18 °C (абсолютный максимум — 36,6 °C); самого холодного (января) — −15 °C (абсолютный минимум — −47,5 °C).	Влияет ли глобальное потепление на погоду в россии?	FALSE
Форма тела узкая, вытянутая. Основная окраска тела коричневая. Усики десятичлениковые.	Есть ли у кого опыт по избавлению от бородавок?	FALSE
Критика. Beastie Boys отметили два альбома Майлза Дэвиса — "Agharta" и "On the Corner", повлиявших на джазовое звучание их записи. Журнал "Rolling Stone" включил этот альбом в свой список «Самые значимые записи 90-х». Журнал "Spin" поставил альбом на 19-ю строчку своего рейтинга «20 лучших альбомов 94-го».	Отмечен ли альбом ценного человека в топ "Rolling Stone" на протяжении 12 недель?	FALSE
Он, как председатель Правления «Еврейского агентства», отвечавший за вопросы обороны в Агентстве, «знал о запланированном нападении «Иргуна» и «Лехи» на деревню, санкционировал её, и получил сразу же рапорт о происходившем […] командующего всеми силами ишува в Иерусалиме Давида Шалтиэля». Он также «получил полный отчет о Дейр-Ясине и от внедренного в «Лехи» агента «Хаганы» Шимона Муниты, который принимал участие в бою». Тем не менее, Бен-Гурион молчал об этом до самой своей смерти в 1973 году, несмотря на то, что ещё в начале 1950-х он устно подтвердил агенту Шимону Муните, что он ему известна правда о происшедшем.	Есть ли доказательства того, что «Лехи» обстрелял Иордан?	FALSE
Численность населения Рапа-Нуи к этому времени значительно сократилась и в 1877 году составила 111 человек (из 2500), большая часть старики, только у 36 были дети. В этом же году местные жители убили Дютру-Борнье. Часть населения вернулась с миссионерами. В конце XIX века у острова Пасхи причаливало множество кораблей, экипажи которых в основном интересовались объектами искусства рапануйской культуры.	Был ли рапануйский народ агрессивным племенем?	FALSE
Название деревни произошло от названия реки Леснянки (), сейчас ручей. В 1675 году упоминается как деревня во владении Войтеха Серафиновича. 28 сентября 1708 года во время Северной войны вблизи деревни русские войска под командованием Петра I разбили шведский корпус генерала Адама Левенгаупта.	Различаются ли названия деревень Лисснянка и Лейснянка?	FALSE
Участник освободительной революции 1896 года и войны против США 1899—1902 годов. Служил мировым судьёй в родном городе. К левому движению пришёл под влиянием идей Льва Толстого и Генри Джорджа, которые и подвигли его выступать в защиту угнетённого крестьянства; позже стал приверженцем марксизма.	Был ли в России к 1910 году социалистическая революция?	FALSE
&lt;ol start="5"&gt;&lt;li&gt; Амандин Эсс "(Первый круг)&lt;li&gt; Виржини Раззано "(Второй круг)&lt;li&gt; Арина Родионова "(Первый круг)&lt;li&gt; Тейлор Таунсенд "(Второй круг)Победители квалификационного отбора. &lt;ol start="8"&gt;&lt;li&gt; Ипек Сойлу "(Первый круг)&lt;li&gt; Виктория Голубич "(Второй круг)&lt;li&gt; Сара Соррибес Тормо "(Первый круг)&lt;li&gt; Луция Градецкая "(Первый круг)&lt;li&gt; Марина Заневская "(Первый круг)&lt;li&gt; Сильвия Солер Эспиноса "(LL, Первый круг)Отказы от участия в турнире. &lt;ol start="2"&gt;&lt;li&gt; Каролина ВозняцкиСписок спортсменок, снявшихся по ходу турнира.	Была ли Каролина Возняцки участницей квалификации?	FALSE
В 1970 году на всесоюзном первенстве спортсменка (уже под фамилией Безрукова) выиграла эстафетный заплыв одиночек и благодаря череде удачных выступлений удостоилась права защищать честь страны на чемпионате мира в Копенгагене. На дистанции 500 метров в зачёте четырёхместных экипажей добыла золото и стала, таким образом, чемпионкой мира, в зачёте двухместных экипажей тоже боролась за победу, но финишировала в итоге лишь второй, уступив лидерство олимпийским чемпионкам из ФРГ Росвите Эссер и Аннемари Циммерман. За эти достижения по итогам сезона удостоена почётного звания «Заслуженный мастер спорта СССР».	Был ли на пути к медали первый олимпийский чемпион (Брюгге)?	FALSE
В 1939 году население села составляло 536 жителей, в 1959 году — 459. В 1982 году население — около 290 человек. В 1989 году — 198 человек (78 мужчин, 120 женщин).	Екатерина богдана россомарова есть ли фото?	FALSE
Но сейчас вместе с двумя другими музеями в районе Роппонги, Музеем искусств Сантори и Национальным художественным музеем, музей Мори образует своеобразный «Треугольник Искусств Роппонги». Руководство. Учредителем музея является Мори Акира, президент Mori Building Co. , Ltd.	Вмещает ли музей Мори Роппонги в себя «Троицу» Микеланджело?	FALSE
Действие фильма происходит на диком американском Западе. Континент ещё слабо освоен и среди его жителей царят дикие нравы. У главного героя фильма Джима Дугласа произошла серьёзная трагедия — четверо бандитов убили его жену. Он хочет отомстить им и узнаёт, что в соседнем городе их поймали, держат в тюрьме и хотят казнить.	Взаимны ли отношения между индейцами и белыми?	FALSE
